N,PHRASE_ID,TalkerIndex,Sound,AnimationTriggerTalker1,AnimationTriggerTalker2,AnimationTriggerTalker3,Text_English,Text_Spanish
12,PHRASE_DIALOG_REME_1_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,It always works. It's you and all the scum living here who think you are highborn,Claro que funciona. Tú y toda la morralla que vivís aquí os pensáis que sois marqueses
13,PHRASE_DIALOG_REME_1_3,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,It's downstairs as always! Be fast. Now there is nobody using it,Está en el piso de abajo como siempre! Sé rápido. Ahora mismo no hay nadie usándolo
14,PHRASE_DIALOG_REME_2_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Well! Have a nice day Reme!,Bueno! Que tengas un florido día Reme!
15,PHRASE_DIALOG_REME_3_TEST,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Dance for me. Reme!,Baila Baila para mí!
16,PHRASE_MEMENTO_FIND_JOB_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I moved to find a job. It is important to find something as soon as possible,Me trasladé aquí para encontrar trabajo. Es importante encontrar algo tan pronto como sea
17,PHRASE_OBSERVE_HIVE1_AD_BOARD_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,They are offering cooker job in center of city. I don't know how this offer came here. I could try! It's called 'El maño',Se necesita cocinero en el centro de la ciudad. No sé ni cómo este anuncio ha llegado hasta aquí. Se podría intentar! El lugar se llama 'El maño'
18,PHRASE_NOT_EXIT_HIVE1_HALL_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,First I need to know WHERE to go,Primero necesitaría saber a dónde voy
19,PHRASE_NOT_EXIT_HIVE1_HALL_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I need to give a good first impression. Cannot go in this way,Debo dar una buena impresión. No puedo ir así
20,PHRASE_TAKE_HIVE1_BASIN_NO_SOAP,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Self cleaning only with water is a mess,Lavarse solo con agua es una guarrada
21,PHRASE_TAKE_HIVE1_BASIN_SOAP,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Now that's actually self cleaning,Ahora esto sí que es asearse
22,PHRASE_USE_HIVE1_PERFUME,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Now that's actually good smelling! My father gifted it to me,Esto sí que es oler bien! Mi padre me lo regaló
23,PHRASE_USE_HIVE1_PERFUME_NOT_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Using perfume not being washed is a pig fact. Not my style,Echarse perfume sin estar limpio es muy cerdo. No es mi estilo
24,PHRASE_USE_HIVE1_PERFUME_NOT_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It's a matter of making it last as long as possible. I already used it,Lo suyo es que el perfume me dure. Ya me he echado
25,PHRASE_USE_CARDS_REME_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Do you want to play with cards?,Quiere usted jugar una partidilla de cartas?
26,PHRASE_USE_CARDS_REME_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,WHO did you think I am? Card games is pure evil,QUIEN se ha creido que soy? Los juegos de naipes son el mismísimo demonio
27,PHRASE_DECISION_NOT_SLEEP,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Don't sleep,No dormir
28,PHRASE_DECISION_SLEEP_DAY,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Sleep until next morning,Dormir hasta la mañana siguiente
29,PHRASE_DECISION_SLEEP_NIGHT,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Sleep until night,Dormir hasta la noche
30,PHRASE_WONT_GO_SOUTH_NEIGH,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,That neighborhood is dangerous. Don't need to go there,Ese barrio es muy peligroso. No necesito pasar por ahí
31,PHRASE_TRY_TALK_PHARMACIST_BUSY,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Excuse me sir. It will be only one second,Disculpe. Solo será un segundo
32,PHRASE_PHARMACIST_BUSY_1,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Young! Don't you see I'm busy?,Joven! No ves que estoy ocupado?
33,PHRASE_PHARMACIST_BUSY_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Please go to queue if you want something,Por favor. A la cola si quieres algo
34,PHRASE_HELLO_DEER,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Hello!,Hola!
35,PHRASE_DIALOG_MANYO_INTRO_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,How is it going sir?,Cómo va la cosa señor?
36,PHRASE_DIALOG_MANYO_INTRO_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Did you do a reservation?,Hizo reserva para hoy?
37,PHRASE_DIALOG_MANYO_WORK_NOTE_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I saw a note out there. You are searching for a cooker. Right?,Vi una nota. Estáis buscando un cocinero. Verdad?
38,PHRASE_DIALOG_MANYO_WORK_NOTE_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Yes. That was six months ago! We have a cooker and things are going on quite good,Sí. Eso fue hace seis meses! Tenemos cocinero y las cosas están yendo bastante bien
39,PHRASE_DIALOG_MANYO_WORK_NOTE_3,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I see... Ok. So you are not looking for any worker here,Ya veo... Ok. Entonces no estáis buscando a ningún trabajador aquí
40,PHRASE_DIALOG_MANYO_WORK_NOTE_4,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,I'm sorry for you. By the moment is all covered here,Lo siento por ti. Por el momento aquí está todo cubierto
41,PHRASE_DIALOG_MANYO_WORKS_CITY_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Do you know about some business here looking for a worker?,Conoces de algún negocio por aquí que busquen trabajadores?
42,PHRASE_DIALOG_MANYO_WORKS_CITY_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,By the moment... Just wait. I guess Pharmacist in this street was looking for help,Por el momento... Espera. Creo que el boticario de esta calle estaba buscando ayuda
43,PHRASE_DIALOG_MANYO_MENU_DAY_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,What are you cooking today?,Qué cocináis para hoy?
44,PHRASE_DIALOG_MANYO_MENU_DAY_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,How good is you are asking for it!,Qué bueno que lo preguntes!
45,PHRASE_DIALOG_MANYO_MENU_DAY_3,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,We have boar from La Mancha with potatoes. Also carrot for dessert,Tenemos jabalí manchego con patatas. Y de postre zanahoria
46,PHRASE_DIALOG_MANYO_MENU_DAY_4,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Yuuk,Puaj
47,PHRASE_DIALOG_MANYO_MENU_DAY_5,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Are you eating here today?,Comerás aquí hoy?
48,PHRASE_DIALOG_MANYO_MENU_DAY_6,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Nope,No
49,PHRASE_DIALOG_MANYO_CROWD_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It's incredible. There is no free place this night!,Impresionante. No queda un hueco esta noche
50,PHRASE_DIALOG_MANYO_CROWD_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,They are tasting boar with potatoes! But I fear they won't come again if we don't offer new menus,Están probando el jabalí con patatas! Pero temo que no volverán hasta que no ofrezcamos menus nuevos
51,PHRASE_DIALOG_MANYO_CROWD_3,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Do you know of a new receipt for this restaurant? You wanted to be cooker. Right?,Conoces nuevas recetas para el restaurante? Tú querías ser cocinero. Verdad?
52,PHRASE_DIALOG_MANYO_CROWD_4,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,If you find out new recipes. Don't hesitate and come one morning and tell me. I will reward you,Si averiguas nuevas recetas. No dudes en acercarte una mañana y contarme. Te recompensaré
53,PHRASE_DIALOG_MANYO_CROWD_5,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I'll review my sources and keep you informed. Sir!,Revisaré mis fuentes y te mantendré informado. Señor!
54,PHRASE_DIALOG_MANYO_BYE_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Have a nice day!,Que tenga un buen día!
55,PHRASE_MEMENTO_RECIPE_MISSION_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Restaurant owner needs a new recipe to have new customers. He promises a reward,El dueño del restaurante necesita una nueva receta para tener nuevos clientes. Él promete una recompensa
56,PHRASE_DIALOG_MANYO_UMBRELLA_NOT_1,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Is this umbrella yours? Somebody left it days ago. God people don't take what doesn't belong to them,Es tuyo el paraguas? Alguien se lo dejó hace días. La gente de Dios no se apropia de lo que no es suyo
57,PHRASE_DIALOG_UMBRELLA_TAKEN,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I'll give you back some day!,Te lo traeré de vuelta algún día!
58,PHRASE_DIALOG_MANYO_BCKG_CROWD_1,0,SOUND_PHRASE_DIALOG_MANYO_BCKG_CROWD_1,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,You must try the wine,Tienes que probar el vino!
59,PHRASE_DIALOG_MANYO_BCKG_CROWD_2,0,SOUND_PHRASE_DIALOG_MANYO_BCKG_CROWD_2,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,For sure! I'm getting dry with this meat,Desde luego! Me estoy quedando seco con esta carne
60,PHRASE_DIALOG_MANYO_BCKG_CROWD_3,0,SOUND_PHRASE_DIALOG_MANYO_BCKG_CROWD_3,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Card match is promising this night,La partida de naipes esta noche va a ser de cine
61,PHRASE_OBSERVE_ITEM_HIVE1_POOR_MAN_WC,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It was a poor man suffering of a bad dinner,Era un pobre hombre sufriendo de una mala cena
62,PHRASE_DIALOG_HIVE1_BCKG_POOR_MAN_WC_OPTION_0_0,0,SOUND_FART_1,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,(Prrrrr),(Prrrrr)
63,PHRASE_DIALOG_HIVE1_BCKG_POOR_MAN_WC_OPTION_1_0,0,SOUND_POOR_MAN_BCKG_1,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Is this going to end somewhen?,Esto va a acabar algún día?
64,PHRASE_DIALOG_HIVE1_BCKG_POOR_MAN_WC_OPTION_2_0,0,SOUND_POOR_MAN_BCKG_2,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,This is torture,Esto es una tortura
65,PHRASE_DIALOG_HIVE1_BCKG_POOR_MAN_WC_OPTION_3_0,0,SOUND_POOR_MAN_BCKG_3,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I should have never eat that dinner,Nunca debí cenar allí
66,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_0_0,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Terrible night. Ah?,Terrible noche. No?
67,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_0_1,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,It was that Maño restaurant. Boar was terrible,Era el restaurante del Maño. El jabalí estaba horrible
68,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_0_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I saw it full of people. Don't think it was in bad state,Lo vi a reventar de gente. No creo que estuviera precisamente malo
69,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_0_3,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Well. Maybe my stomach is not in mood!,Bueno. Mi estómago no está por la labor
70,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_1_0,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Are you going to end today?,Piensas terminar algún día?
71,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_1_1,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Haha. Very funny. If I could. I would be out there. Night is young,Jaja. Muy gracioso. Si pudiera. Estaría por allí. La noche es joven
72,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_2_0,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,How can I help you?,Como podría ayudarte?
73,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_2_1,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,This nasty Inn is cutting water at night. I cannot let this in this state,Esta asquerosa pocilga está cortando el agua por las noches. No puedo dejar esto así
74,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_2_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Ahh. I see...,Ahh. Ya veo..
75,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_2_3,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Could you please talk to someone to bring water again?,Podrías por favor hablar con alguien para que vuelva el agua?
76,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_2_4,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I will see what can I do. But personnel is absent during day. Even worse at night,Veré lo que puedo hacer. Pero si ya el personal está ausente durante el día. Imagina por la noche
77,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_OPTION_3_0,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I need to go. Sorry for your situation!,Necesito irme. Lamento la situación!
78,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_INTRO_0,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Did you come to laugh at my disgrace?,Viniste a reirte de mi desgracia?
79,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_INTRO_1,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Did I wake you up?,Te desperté?
80,PHRASE_DIALOG_HIVE1_POOR_MAN_WC_INTRO_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY_ONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,Are you from health department?,Eres del ministerio de sanidad?
81,PHRASE_MEMENTO_POOR_MAN_WC_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,A poor man can't leave WC because there is no water in toilet system,El pobre hombre no puede irse porque no hay agua en las cisternas de los inodoros
82,PHRASE_MEMENTO_POOR_MAN_WC_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It seems to be a valve in back alley but is closed,Parece haber una válvula en el callejón de atrás pero está cerrada
83,PHRASE_MEMENTO_POOR_MAN_WC_3,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,When water came back. This man gave me an invitation to a Pub where I could meet someone for a job,Cuando el agua volvió. Este hombre me dio una invitación a un Pub donde podría conocer a alguien para un trabajo
84,PHRASE_OBSERVE_ITEM_HIVE1_ROACH,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It is a tiny cockroach! The only living being human is terrified of,Es una cucarachita pequeña! El único ser vivo al que el ser humano teme
85,PHRASE_OBSERVE_ITEM_HIVE1_PIPE,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,This pipe may bring water to toilets and is comming from outside,This pipe may bring water to toilets and is comming from outside
86,PHRASE_TAKE_ITEM_HIVE1_ROACH_HEAD,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It squeezed! I need to try it again or be smarter,Se escapó! Necesito volver a intentarlo o ser más listo que ella
87,PHRASE_OBSERVE_ITEM_HIVE1_VALVE_BOX,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It seems like a closed box for some mechanism,Parece una caja de control de algún mecanismo
88,PHRASE_OBSERVE_ITEM_HIVE1_BACKALLEY_PIPE,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Its a normal pipe,Es una tubería normal
89,PHRASE_OBSERVE_ITEM_HIVE1_BACKALLEY_PIPE_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,This is the next part of toilets pipe. Therefore Its valve should be in that box,Esta es la continuación de la tubería de los aseos. Por lo que la válvula debería estar en ese cuadro
90,PHRASE_OBSERVE_ITEM_HIVE1_VALVE_BOX_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Valve to activate water should be inside that box,La válvula para abrir el agua debería estar dentro de ese cuadro
91,PHRASE_TAKE_VALVE_BOX_CLOSED,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Door is unlocked. But its hard to open. I can't put my fingers inside and open,La cerradura está abierta. Pero es difícil de abrir. No me caben los dedos en la rendija para abrir
92,PHRASE_TAKE_VALVE_BOX_CLOSED_MORNING,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I don't want to be seen manipulating things at this hour,No quiero que me vean manipulando cosas a esta hora del día
93,PHRASE_OBSERVE_ITEM_HIVE1_SHOELACE,0,SOUND_OBSERVE_ITEM_SHOELACE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,It's a shoelace lost from some guest,Es el cordón de bota de algún huesped
94,PHRASE_NO_REASON_TO_DO,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,I don't have a reason to take it,No tengo razón para cogerlo
95,PHRASE_TAKE_ITEM_HIVE1_SHOELACE,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Maybe it could be useful to open things,Podría ser útil para abrir cosas
96,PHRASE_OBSERVE_ITEM_HIVE1_VALVE,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_TWO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,This valve seems to control water flow to Inn building,Esta válvula parece controlar el flujo de agua a la pensión
97,PHRASE_USE_SHOELACE_VALVE_BOX,0,SOUND_NONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Much easier with lace help!,Mucho mejor con ayuda del cordón!
98,PHRASE_USE_HIVE1_VALVE,0,SOUND_NONE,ANIMATION_TRIGGER_TALK_ONE,ANIMATION_TRIGGER_ZERO,ANIMATION_TRIGGER_ZERO,Water should be flowing now inside!,El agua ahora debería fluir hacia la pensión
